cod_id,http_status,stage_failed,reject_detail,n_blocks,n_sites,n_sites_primitive,volume_a3,is_ordered,formula_declared,formula_parsed,max_z,min_nn_dist_a,contains_carbon,n_parser_warnings,survived
2312489,200,,,1,66,66,769.4734,True,C12 H13 Cl2 N5 O,H26 C24 N10 Cl4 O2,17,0.8565,True,0,True
2312510,200,ordered,partial or mixed site occupancy,1,217,,1267.7382,False,,Cu2 H61 C45 N1 O18,29,,True,0,False
2312581,200,ordered,partial or mixed site occupancy,1,204,,2180.9082,False,,Fe4 H12 C60 O24 F72,26,,True,0,False
2312736,200,size_within_limit,288 sites > 150,1,288,,2560.8902,True,C20 H36 F2 N2 O10 S2,H144 C80 S8 N8 O40 F8,16,0.91,True,0,False
2312819,200,,,1,28,28,479.6488,True,O4 Pb2 Sn,Sn4 Pb8 O16,82,2.0439,False,0,True
2312861,200,size_within_limit,280 sites > 150,1,280,,2772.4187,True,C13 H15 N3 O4,H120 C104 N24 O32,8,0.9021,True,0,False
3000283,200,parsed,ValueError: Invalid CIF file with no structures!,,,,,,,,,,,2,False
3000348,200,ordered,partial or mixed site occupancy,1,12,,119.431,False,,V3.84 W0.16 O8,74,,False,1,False
3000406,200,parsed,ValueError: Invalid CIF file with no structures!,,,,,,,,,,,2,False
3000467,200,ordered,partial or mixed site occupancy,1,84,,822.1746,False,,H28 Pd2 C24 N8 O18,46,,True,1,False
3000539,200,parsed,ValueError: Invalid CIF file with no structures!,,,,,,,,,,,2,False
3000550,200,ordered,partial or mixed site occupancy,1,266,,2421.9044,False,,Ag8 H96 C72 N32 Cl8 O32,47,,True,0,False
3000628,200,parsed,ValueError: Invalid CIF file with no structures!,,,,,,,,,,,2,False
3500081,200,size_within_limit,432 sites > 150,1,432,,3645.0088,True,C16 H36 Br N,H288 C128 Br8 N8,35,,True,1,False
4000047,200,,,1,38,38,415.6572,True,C4 H4 Mn N8 O2,Mn2 H8 C8 N16 O4,25,0.8623,True,0,True
4000139,200,,,1,104,104,1919.408,True,C2 H6 Cu N S10 Sb6,Cu4 Sb24 H24 C8 S40 N4,51,0.9992,True,8,True
4000175,200,ordered,partial or mixed site occupancy,1,26,,241.6083,False,,Sm1.066 Ga11.56 Ni4 Ge0.4,62,,False,2,False
4000375,200,size_within_limit,524 sites > 150,1,524,,4745.3777,True,C68 H156 B2 Mo2 N2 O26 P2 Si4,Si8 B4 Mo4 P4 H312 C136 N4 O52,42,,True,0,False
4000522,200,,,1,36,18,813.0301,True,Cu2 S4 Sn Tl2,Tl8 Cu8 Sn4 S16,81,2.2935,False,0,True
4000683,200,ordered,partial or mixed site occupancy,1,38,,701.4889,False,,K4 Te8 O24.4,52,,False,1,False
4000758,200,size_within_limit,220 sites > 150,1,220,,2056.1329,True,C34 H68 Ag2 O4 P2,Ag4 P4 H136 C68 O8,47,0.9497,True,0,False
4001010,200,size_within_limit,212 sites > 150,1,212,,2077.3599,True,C54 H42 B2 O8,B4 H84 C108 O16,8,0.9492,True,0,False
4001181,200,parsed,ValueError: Invalid CIF file with no structures!,,,,,,,,,,,3,False
4001249,200,,,1,26,26,292.2872,True,C10 H12 S4,H12 C10 S4,16,0.9464,True,0,True
4001675,200,ordered,partial or mixed site occupancy,1,968,,10152.4738,False,,Eu4 Ag12 H348 C376 N100 Cl24 O100,63,,True,1,False
4001708,200,ordered,partial or mixed site occupancy,1,576,,8683.655,False,,Zn8 Cu32 H144 C144 I32 N48 O32,53,,True,0,False
4001779,200,ordered,partial or mixed site occupancy,1,54,,586.3226,False,,La9.5024 Si5.8728 O26,57,,False,1,False
4001812,200,,,1,56,56,1816.9135,True,Cs2 Se8 Sn3 Zn,Cs8 Zn4 Sn12 Se32,55,2.458,False,0,True
4002109,200,,,1,56,28,1419.63,True,C8 Al O5,Al4 C32 O20,13,1.2742,True,0,True
