cod_id,formula_reduced,formula_full,n_sites,n_sites_primitive,volume_a3,spacegroup_symbol,spacegroup_number,crystal_system,n_elements,elements,contains_carbon
7212196,CoH14C14(NO4)2,Co2 H28 C28 N4 O16,78,78,762.7776,P-1,2,triclinic,5,C Co H N O,True
7212245,SrTiO3,Sr1 Ti1 O3,5,5,59.5474,Pm-3m,221,cubic,3,O2- Sr2+ Ti4+,False
7212325,UH17C10N2O9,U2 H34 C20 N4 O18,78,78,725.2946,P-1,2,triclinic,5,C H N O U,True
7212365,H13C11NO5,H52 C44 N4 O20,120,120,1148.4765,P2_12_12_1,19,orthorhombic,4,C H N O,True
7212378,GaPH17C6N2(OF)3,Ga4 P4 H68 C24 N8 O12 F12,132,132,1093.6576,P2_1/c,14,monoclinic,7,C F Ga H N O P,True
7212384,H16(C6O)3,H64 C72 O12,148,148,1458.9089,P2_12_12_1,19,orthorhombic,3,C H O,True
7212393,DyH21(C9O2)3,Dy2 H42 C54 O12,110,110,1192.6803,P2_1,4,monoclinic,4,C Dy H O,True
7212432,H16C15SO2,H64 C60 S4 O8,136,136,1343.4402,P2_1/c,14,monoclinic,4,C H O S,True
7212623,CuH22C22S2N4Cl4O,Cu2 H44 C44 S4 N8 Cl8 O2,112,112,1276.2936,P-1,2,triclinic,7,C Cl Cu H N O S,True
7212635,PH19C24S2N(O2F3)2,P2 H38 C48 S4 N2 O8 F12,114,114,1251.3736,P-1,2,triclinic,7,C F H N O P S,True
7212686,H8C13Br2NF5,H32 C52 Br8 N4 F20,116,116,1467.3422,Pca2_1,29,orthorhombic,5,Br C F H N,True
7212687,H9C13NClF5,H18 C26 N2 Cl2 F10,58,58,661.8441,Pc,7,monoclinic,5,C Cl F H N,True
7212710,H22C10S(NO2)2,H44 C20 S2 N4 O8,78,78,716.46,P2_1,4,monoclinic,5,C H N O S,True
7212739,NaH20AuC16S6(NO)4,Na1 H20 Au1 C16 S6 N4 O4,52,52,602.2014,P-1,2,triclinic,7,Au C H N Na O S,True
7212889,FeH15Au2C17N6O,Fe2 H30 Au4 C34 N12 O2,84,84,995.2068,P-1,2,triclinic,6,Au C Fe H N O,True
7213005,H15C12N3O2,H60 C48 N12 O8,128,128,1159.1835,P2_1/c,14,monoclinic,4,C H N O,True
7213061,H14C11(NO4)2,H56 C44 N8 O32,140,140,1408.9687,Pca2_1,29,orthorhombic,4,C H N O,True
7213085,H18C13N2O3,H72 C52 N8 O12,144,144,1308.8084,P2_1/c,14,monoclinic,4,C H N O,True
7213118,Si4(H2C)15,Si8 H60 C30,98,98,1051.2803,P-1,2,triclinic,3,C H Si,True
7213163,Si5H41C20O2F3,Si10 H82 C40 O4 F6,142,142,1415.1823,P-1,2,triclinic,5,C F H O Si,True
7213197,PH21C21NO2F,P2 H42 C42 N2 O4 F2,94,94,936.8881,P2_1,4,monoclinic,6,C F H N O P,True
7213266,H9C8NO2,H36 C32 N4 O8,80,80,745.784,P-1,2,triclinic,4,C H N O,True
7213267,H10C13(NO2)2,H20 C26 N4 O8,58,58,565.442,P-1,2,triclinic,4,C H N O,True
7213268,H16C15(NO)2,H64 C60 N8 O8,140,140,1305.1975,P2_1/c,14,monoclinic,4,C H N O,True
7213315,H26(C4O)3,H52 C24 O6,82,82,679.7743,P-1,2,triclinic,3,C H O,True
7213362,H31(C19F2)2,H62 C76 F8,146,146,1491.4023,P-1,2,triclinic,3,C F H,True
7213375,H9C9O2,H36 C36 O8,80,80,741.4883,P2_1/c,14,monoclinic,3,C H O,True
7213382,H7C9SN3O,H28 C36 S4 N12 O4,84,84,903.2888,P2_1/c,14,monoclinic,5,C H N O S,True
